crt_code,crt_category,co2,other_ghg,total_ghg,unit
,HWP in SWDS,0.0,0.0,0.0,kton CO2-eq
,Multilateral Operations,0.0,0.0,0.0,kton CO2-eq
,Total Amount Captured for Storage,0.0,0.0,0.0,kton CO2-eq
,Total Amount of CO₂ Injected at Storage Sites,0.0,0.0,0.0,kton CO2-eq
,Total Amount of Exports for Storage,0.0,0.0,0.0,kton CO2-eq
,Total Amount of Imports for Storage,0.0,0.0,0.0,kton CO2-eq
,"Total Leakage from Transport, Injection and Storage",0.0,0.0,0.0,kton CO2-eq
,Waste Incineration with Energy Recovery included as Fossil Fuels,24.04374,0.4981800000000014,24.54192,kton CO2-eq
,Waste Incineration with Energy Recovery included as Biomass,39.33,0.7472700000000003,40.07727,kton CO2-eq
,Annual Change in Total Long-term C Storage in HWP Waste,519.2297136932499,0.0,519.2297136932499,kton CO2-eq
,Annual Change in Total Long-term C Storage,764.5217416857997,0.0,764.5217416857997,kton CO2-eq
,Long-term Storage of C in Waste Disposal Sites,15558.29815757903,0.0,15558.29815757903,kton CO2-eq
,Total GHG emissions with LULUCF,155568.54388412228,34620.98741585179,190189.53129997407,kton CO2-eq
,Total GHG emissions with LULUCF including indirect CO₂,157520.7562804562,34620.98741585176,192141.74369630797,kton CO2-eq
,Total GHG emissions without LULUCF,164250.43601100493,34524.83552081525,198775.27153182018,kton CO2-eq
,Total GHG emissions without LULUCF including indirect CO₂,166202.64840733886,34524.83552081522,200727.48392815408,kton CO2-eq
1,Energy,147099.1634631448,16105.097712322546,163204.26117546734,kton CO2-eq
1.A.1,Energy Industries,56593.87464028391,236.15261493957223,56830.02725522348,kton CO2-eq
1.A.1.a,Public Electricity and Heat Production,54584.89820535171,232.4189539660074,54817.31715931772,kton CO2-eq
1.A.1.a.i,Electricity Generation,54584.89820535171,232.4189539660074,54817.31715931772,kton CO2-eq
1.A.1.a.ii,Combined Heat and Power Generation,0.0,0.0,0.0,kton CO2-eq
1.A.1.a.iii,Heat Plants,0.0,0.0,0.0,kton CO2-eq
1.A.1.b,Petroleum Refining,492.55745930835275,0.6121213385000033,493.16958064685275,kton CO2-eq
